Command,Properties,Handler Class,Validator Class,API Endpoint,Authorization,Status,Response DTO
AdjustInventory,"ProductId, QuantityAdjustment, Reason",AdjustInventoryCommandHandler,AdjustInventoryCommandValidator,POST /api/v1/inventory/adjust,TenantAdmin|StoreManager,Fully Implemented,"AdjustInventoryResponse(ProductId, NewAvailableQuantity, ReservedQuantity, Message)"
CreateCategory,"Name, Description?, Slug?, ParentCategoryId?, DisplayOrder=0, IsVisible=true, ImageUrl?",CreateCategoryCommandHandler,CreateCategoryCommandValidator,POST /api/v1/categories,TenantAdmin|StoreManager,Fully Implemented,"CreateCategoryResponse(CategoryId, Name, Slug)"
CreateCollection,"Name, Description?, DisplayOrder=0, Status?=Active",CreateCollectionCommandHandler,CreateCollectionCommandValidator,POST /api/v1/collections,TenantAdmin|StoreManager,Fully Implemented,"CreateCollectionResponse(CollectionId, Name, Status)"
CreateProduct,"CategoryId, Name, Sku, CustomSlug?, ShortDescription?, Description?, ProductType?=Physical, Status?=Draft, Price=0, CompareAtPrice?, CostPrice?, Weight?, Length?, Width?, Height?, IsFeatured=false, TrackInventory=true, Taxable=true, Attributes?, Tags?",CreateProductCommandHandler,CreateProductCommandValidator,POST /api/v1/products,TenantAdmin|StoreManager,Fully Implemented,"CreateProductResponse(ProductId, Name, Sku, Slug)"
CreateProductImage,"ProductId, ImageUrl, AltText?, IsPrimary=false",CreateProductImageCommandHandler,CreateProductImageCommandValidator,POST /api/v1/products/{id}/images,TenantAdmin|StoreManager,Fully Implemented,"CreateProductImageResponse(ImageId, ProductId, ImageUrl, IsPrimary)"
CreateVariant,"ProductId, SkuSuffix, Name, PriceAdjustment=0, StockQuantity=0, Attributes?",CreateVariantCommandHandler,CreateVariantCommandValidator,POST /api/v1/products/{id}/variants,TenantAdmin|StoreManager,Fully Implemented,"CreateVariantResponse(VariantId, ProductId, Name, Sku)"
DeleteCategory,CategoryId,DeleteCategoryCommandHandler,DeleteCategoryCommandValidator,DELETE /api/v1/categories/{id},TenantAdmin|StoreManager,Fully Implemented,"DeleteCategoryResponse(CategoryId, Message)"
DeleteCollection,CollectionId,DeleteCollectionCommandHandler,DeleteCollectionCommandValidator,DELETE /api/v1/collections/{id},TenantAdmin|StoreManager,Fully Implemented,"DeleteCollectionResponse(CollectionId, Message)"
DeleteProduct,ProductId,DeleteProductCommandHandler,DeleteProductCommandValidator,DELETE /api/v1/products/{id},TenantAdmin|StoreManager,Fully Implemented,"DeleteProductResponse(ProductId, Message)"
DeleteProductImage,"ProductId, ImageId",DeleteProductImageCommandHandler,DeleteProductImageCommandValidator,DELETE /api/v1/products/{id}/images/{imageId},TenantAdmin|StoreManager,Fully Implemented,"DeleteProductImageResponse(ImageId, Message)"
DeleteVariant,"ProductId, VariantId",DeleteVariantCommandHandler,DeleteVariantCommandValidator,DELETE /api/v1/products/{id}/variants/{variantId},TenantAdmin|StoreManager,Fully Implemented,"DeleteVariantResponse(VariantId, Message)"
DuplicateProduct,"ProductId, NewSku, NewName, NewSlug?",DuplicateProductCommandHandler,DuplicateProductCommandValidator,POST /api/v1/products/{id}/duplicate,TenantAdmin|StoreManager,Fully Implemented,"DuplicateProductResponse(DuplicatedProductId, NewSku, NewName, NewSlug)"
RestoreCategory,CategoryId,RestoreCategoryCommandHandler,RestoreCategoryCommandValidator,POST /api/v1/categories/{id}/restore,TenantAdmin,Fully Implemented,"RestoreCategoryResponse(CategoryId, Message)"
RestoreProduct,ProductId,RestoreProductCommandHandler,RestoreProductCommandValidator,POST /api/v1/products/{id}/restore,TenantAdmin|StoreManager,Fully Implemented,"RestoreProductResponse(ProductId, Message)"
UpdateCategory,"CategoryId, Name?, Description?, Slug?, ParentCategoryId?, DisplayOrder?, IsVisible?, ImageUrl?",UpdateCategoryCommandHandler,UpdateCategoryCommandValidator,PUT /api/v1/categories/{id},TenantAdmin|StoreManager,Fully Implemented,"UpdateCategoryResponse(CategoryId, Name, Slug)"
UpdateCollection,"CollectionId, Name?, Description?, DisplayOrder?, Status?",UpdateCollectionCommandHandler,UpdateCollectionCommandValidator,PUT /api/v1/collections/{id},TenantAdmin|StoreManager,Fully Implemented,"UpdateCollectionResponse(CollectionId, Name, Status)"
UpdateProduct,"ProductId, CategoryId?, Name?, Sku?, CustomSlug?, ShortDescription?, Description?, Status?, Price?, CompareAtPrice?, CostPrice?, Weight?, Length?, Width?, Height?, IsFeatured?, Taxable?",UpdateProductCommandHandler,UpdateProductCommandValidator,PUT /api/v1/products/{id},TenantAdmin|StoreManager,Fully Implemented,"UpdateProductResponse(ProductId, Name, Sku, Slug)"
UpdateVariant,"ProductId, VariantId, Name?, PriceAdjustment?, Attributes?, IsActive?",UpdateVariantCommandHandler,UpdateVariantCommandValidator,PUT /api/v1/products/{id}/variants/{variantId},TenantAdmin|StoreManager,Fully Implemented,"UpdateVariantResponse(VariantId, ProductId, Name, Sku)"
